x,y,z,qx,qy,qz,qw
0.35698361468768514,-0.0002348086584203406,0.5899074525202738,0.9239147907769208,-0.3825979858504416,-0.0003861803714060548,0.0003024426301693313
0.40698224917056586,-0.0003377684642978155,0.5896794200242685,0.9238850314721252,-0.38266930449670705,-0.0006758856796446337,0.0004418102589994558
0.4070207525206952,-0.050118823138713284,0.5893069284203254,0.9239357597023646,-0.3825455772742858,-0.001152497841990023,0.0005147813342409233
0.4070365507254106,-0.09997118882483937,0.5890506869273398,0.9239595812355522,-0.3824868393997545,-0.0015051831362384515,0.000494320478654079
0.40706381614369946,-0.14991114044837398,0.5887551729155022,0.9239547312494675,-0.3824968922183528,-0.001898243257804394,0.0004227499974119069
0.40712636275534236,-0.19975147853793282,0.5884482614052311,0.9239855947094466,-0.3824202498662712,-0.002295465050590942,0.0003226481837353879
0.40714747818194935,-0.199691076294366,0.5381876857312595,0.924003703145266,-0.3823743363463537,-0.0026405895599610828,0.00022530933505134743
0.4071182427269083,-0.19965848154707894,0.4878571716595371,0.9239669341579024,-0.38246002609903584,-0.0030697080311216512,9.955789737031077e-05
0.4070720835292747,-0.19961080281700186,0.437636493223527,0.9239592541527141,-0.38247597687129004,-0.003377089421312563,0.00013801794578739625
0.4069688257541192,-0.199628580442869,0.3874418981168656,0.9239355878604124,-0.38253053281436267,-0.0036574576006767638,0.00020965136047959104
0.4068670347398705,-0.1996448347725159,0.33729806982559835,0.9239157548440757,-0.38257601753579074,-0.0038970649142648197,0.0002857313600525088
0.4068685480371596,-0.19965236159869712,0.3373195388040489,0.9239131015094829,-0.3825827150876271,-0.003869250434691946,0.00027545667749042133
0.40686797103502986,-0.19965741601137493,0.33732496574024595,0.9239105632804056,-0.3825889155229217,-0.0038624693885727247,0.0002722280306628391
0.4067871037164868,-0.1996387693376611,0.38705852680210406,0.9238859115359758,-0.38264553947431007,-0.004145502513899426,0.00016850715311373467
0.4067578840745754,-0.199595045797338,0.436750625461708,0.9238894272246789,-0.3826334992452808,-0.004463868810095929,7.343713294461896e-05
0.4066877163444746,-0.14976042781102417,0.43649204626269583,0.9238519848090111,-0.3827208596248335,-0.004714821704334535,0.00015565595239737883
0.4066607772554242,-0.09975540675865359,0.43626703203594996,0.9238911252790311,-0.38262362653703735,-0.00492475707297571,0.00030953846894555176
0.4066363652562706,-0.049772255340213976,0.43599887090102224,0.9239237184873094,-0.382541455351408,-0.005169190353917375,0.0005261418960346438
0.4066233215097737,0.00017735338561396838,0.435765583387165,0.9239522262215409,-0.38246907299362537,-0.0053987289027738776,0.0007386405687276856
0.4065480636200424,0.05006254864054029,0.4355148849045638,0.9239621621480896,-0.38244115086692587,-0.005624732940826016,0.0010253884889147996
0.40648471221636057,0.05011622377492476,0.3852599371966623,0.9240457657980347,-0.3822347241876399,-0.005853746792306954,0.0013311590491808082
0.4063839208191977,0.050019315959512055,0.335086146068898,0.9240152858535823,-0.3823039374398452,-0.006116139376746097,0.001429603454781476
0.4063821086435514,0.05004343631188552,0.33510931641543107,0.9240241964643096,-0.38228292574421796,-0.0060836090996455065,0.0014278421657996682
0.40638089212867196,0.050039047823093194,0.3351091510713535,0.9240218179508086,-0.38228866540067236,-0.006084445109455672,0.0014268092954169433
